ideological_universe,ordinal_position,original_ordinal_position,party,classification_label,ideology_value_numeric,ideology_source,source_party_raw,election_year
all_parties,1,1,PSTU,extrema-esquerda,0.51,2023,PSTU,2014
all_parties,2,2,PCO,extrema-esquerda,0.61,2023,PCO,2014
all_parties,3,3,PCB,extrema-esquerda,0.91,2023,PCB,2014
all_parties,4,4,PSOL,extrema-esquerda,1.28,2023,PSOL,2014
all_parties,5,5,PCdoB,esquerda,1.92,2023,PCdoB,2014
all_parties,6,6,PT,esquerda,2.97,2023,PT,2014
all_parties,7,7,PDT,centro-esquerda,3.92,2023,PDT,2014
all_parties,8,8,PSB,centro-esquerda,4.05,2023,PSB,2014
all_parties,9,10,PPS,centro,4.92,2023,PPS,2014
all_parties,10,11,PV,centro,5.29,2023,PV,2014
all_parties,11,12,PTB,centro-direita,6.1,2023,PTB,2014
all_parties,12,13,PT DO B,centro-direita,6.32,2023,Avante,2014
all_parties,13,14,SOLIDARIEDADE,centro-direita,6.5,2023,SDD,2014
all_parties,14,15,PMN,centro-direita,6.88,2023,PMN,2014
all_parties,15,17,PHS,centro-direita,6.96,2023,PHS,2014
all_parties,16,18,PMDB,direita,7.01,2023,MDB,2014
all_parties,17,19,PSD,direita,7.09,2023,PSD,2014
all_parties,18,20,PSDB,direita,7.11,2023,PSDB,2014
all_parties,19,21,PTN,direita,7.24,2023,Podemos,2014
all_parties,20,22,PPL,direita,7.27,2023,PPL,2014
all_parties,21,23,PRTB,direita,7.45,2023,PRTB,2014
all_parties,22,24,PROS,direita,7.47,2023,Pros,2014
all_parties,23,25,PRP,direita,7.59,2023,PRP,2014
all_parties,24,26,PR,direita,7.78,2023,PR,2014
all_parties,25,27,PRB,direita,7.78,2023,PRB,2014
all_parties,26,28,PTC,direita,7.86,2023,PTC,2014
all_parties,27,29,PSDC,direita,8.11,2023,DC,2014
all_parties,28,30,PSL,direita,8.11,2023,PSL,2014
all_parties,29,32,PP,direita,8.2,2023,Progressistas,2014
all_parties,30,33,PSC,direita,8.33,2023,PSC,2014
all_parties,31,34,PEN,extrema-direita,8.55,2023,Patriota,2014
all_parties,32,35,DEM,extrema-direita,8.57,2023,DEM,2014
