ideological_universe,ordinal_position,original_ordinal_position,party,classification_label,ideology_value_numeric,ideology_source,source_party_raw,election_year
seat_winning,1,4,PSOL,extrema-esquerda,1.28,2023,PSOL,2014
seat_winning,2,5,PCdoB,esquerda,1.92,2023,PCdoB,2014
seat_winning,3,6,PT,esquerda,2.97,2023,PT,2014
seat_winning,4,7,PDT,centro-esquerda,3.92,2023,PDT,2014
seat_winning,5,8,PSB,centro-esquerda,4.05,2023,PSB,2014
seat_winning,6,10,PPS,centro,4.92,2023,PPS,2014
seat_winning,7,11,PV,centro,5.29,2023,PV,2014
seat_winning,8,12,PTB,centro-direita,6.1,2023,PTB,2014
seat_winning,9,13,PT DO B,centro-direita,6.32,2023,Avante,2014
seat_winning,10,14,SOLIDARIEDADE,centro-direita,6.5,2023,SDD,2014
seat_winning,11,15,PMN,centro-direita,6.88,2023,PMN,2014
seat_winning,12,17,PHS,centro-direita,6.96,2023,PHS,2014
seat_winning,13,18,PMDB,direita,7.01,2023,MDB,2014
seat_winning,14,19,PSD,direita,7.09,2023,PSD,2014
seat_winning,15,20,PSDB,direita,7.11,2023,PSDB,2014
seat_winning,16,21,PTN,direita,7.24,2023,Podemos,2014
seat_winning,17,23,PRTB,direita,7.45,2023,PRTB,2014
seat_winning,18,24,PROS,direita,7.47,2023,Pros,2014
seat_winning,19,25,PRP,direita,7.59,2023,PRP,2014
seat_winning,20,26,PR,direita,7.78,2023,PR,2014
seat_winning,21,27,PRB,direita,7.78,2023,PRB,2014
seat_winning,22,28,PTC,direita,7.86,2023,PTC,2014
seat_winning,23,29,PSDC,direita,8.11,2023,DC,2014
seat_winning,24,30,PSL,direita,8.11,2023,PSL,2014
seat_winning,25,32,PP,direita,8.2,2023,Progressistas,2014
seat_winning,26,33,PSC,direita,8.33,2023,PSC,2014
seat_winning,27,34,PEN,extrema-direita,8.55,2023,Patriota,2014
seat_winning,28,35,DEM,extrema-direita,8.57,2023,DEM,2014
