election_year,ideological_universe,ideological_party_count,left_original_ordinal_position,right_original_ordinal_position,k,gap_count,coalition_id,q_C,d_C,R_C,minimal_seat_majority,inversion,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent,vote_share_pct,quota_display,seat_diff_display,required_diff_display,representation_ratio_display
2014,seat_winning,28,8,21,0,0,PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN,250.96762429727286,9.032375702727137,1.0359902028320125,true,true,5,16,PSB,PTN,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,97355354,0.4892156419050153,260,0.50682261208577,250.96762429727286,9.032375702727137,6.032375702727137,1.0359902028320125,false,true,seats_only,true,226,256,true,true,true,true,true,48.92,250.97,9.03,6.03,1.04
2014,seat_winning,28,12,26,0,0,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,243.39882700236495,13.601172997635047,1.0558801912282958,true,true,8,20,PTB,PR,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",13,46191382,97355354,0.4744616510767348,257,0.5009746588693957,243.39882700236495,13.601172997635047,13.601172997635047,1.0558801912282958,false,true,seats_only,true,232,223,true,true,true,true,true,47.45,243.4,13.6,13.6,1.06
2014,seat_winning,28,13,29,0,0,PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC,250.55821642844626,6.441783571553742,1.0257097279162402,true,true,9,23,PT DO B,PSDC,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",15,47550066,97355354,0.4884175758839108,257,0.5009746588693957,250.55821642844626,6.441783571553742,6.441783571553742,1.0257097279162402,false,true,seats_only,true,256,255,true,true,true,true,true,48.84,250.56,6.44,6.44,1.03
2014,seat_winning,28,14,30,0,0,SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL,250.53826137800291,6.461738621997085,1.025791424377484,true,true,10,24,SOLIDARIEDADE,PSL,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",15,47546279,97355354,0.48837867715010314,257,0.5009746588693957,250.53826137800291,6.461738621997085,6.461738621997085,1.025791424377484,false,true,seats_only,true,242,256,true,true,true,true,true,48.84,250.54,6.46,6.46,1.03
2018,seat_winning,30,6,20,0,0,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,256.2488516315048,10.751148368495194,1.0419558889729417,true,true,3,16,PT,PSDB,"PT, PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB",14,49083988,98264190,0.4995104320302238,267,0.52046783625731,256.2488516315048,10.751148368495194,0.7511483684951941,1.0419558889729417,false,true,seats_only,true,211,237,true,true,true,true,true,49.95,256.25,10.75,0.75,1.04
2022,seat_winning,23,15,29,0,0,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,252.4933738711677,12.506626128832295,1.0495324924257763,true,true,11,20,MDB,UNIÃO,"MDB, PSDB, PSD, PODE, PROS, PTB, PP, REPUBLICANOS, PSC, UNIÃO",10,53852214,109413508,0.492189812614362,265,0.5165692007797271,252.4933738711677,12.506626128832295,4.506626128832295,1.0495324924257763,false,true,seats_only,true,223,206,true,true,true,true,true,49.22,252.49,12.51,4.51,1.05
2022,seat_winning,23,25,32,0,0,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,232.18668013093958,25.81331986906042,1.1111748522977427,true,true,17,23,PP,PL,"PP, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL",7,49521168,109413508,0.4526056142903306,258,0.5029239766081871,232.18668013093958,25.81331986906042,24.81331986906042,1.1111748522977427,false,true,seats_only,true,211,159,true,true,true,true,true,45.26,232.19,25.81,24.81,1.11
