election_year,mandate_start,mandate_end,period_label,period_start,period_end,selected_by_overlap,raw_parties
2018,2019-01-01,2022-12-31,2023.1,2023-01-01,2023-09-12,false,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO"
2018,2019-01-01,2022-12-31,2023.2,2023-09-13,2025-12-23,false,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIÃO"
2018,2019-01-01,2022-12-31,2025.1,2025-12-24,2026-03-19,false,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2015.1,2015-01-01,2016-03-23,false,"MDB, PCdoB, PDT, PL, PP, PSD, PT, PTB, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2016.1,2016-03-24,2016-04-13,false,"MDB, PCdoB, PDT, PL, PP, PSD, PT, PTB"
2022,2023-01-01,2026-03-19,2016.2,2016-04-14,2016-04-15,false,"MDB, PCdoB, PDT, PL, PSD, PT, PTB"
2022,2023-01-01,2026-03-19,2016.3,2016-04-16,2016-05-11,false,"MDB, PCdoB, PDT, PL, PT, PTB"
2022,2023-01-01,2026-03-19,2016.4,2016-05-12,2017-12-27,false,"DEM, MDB, PP, PPS, PSB, PSD, PSDB, PTB, PV"
2022,2023-01-01,2026-03-19,2017.1,2017-12-28,2018-04-06,false,"DEM, MDB, PP, PPS, PSB, PSD, PSDB, PV"
2022,2023-01-01,2026-03-19,2018.1,2018-04-07,2018-05-27,false,"MDB, PP, PPS, PSD, PSDB"
2022,2023-01-01,2026-03-19,2018.2,2018-05-28,2018-12-31,false,"MDB, PODE, PP, PPS, PSD, PSDB"
2022,2023-01-01,2026-03-19,2019.1,2019-01-01,2020-02-10,false,"DEM, MDB, NOVO, PATRIOTA, PL, REPUBLICANOS, PSL"
2022,2023-01-01,2026-03-19,2020.1,2020-02-11,2020-02-14,false,"DEM, MDB, NOVO, PATRIOTA, PL, REPUBLICANOS, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.2,2020-02-15,2020-06-16,false,"DEM, NOVO, PATRIOTA, PL, REPUBLICANOS, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.3,2020-06-17,2020-12-09,false,"DEM, NOVO, PATRIOTA, PL, REPUBLICANOS, PSD, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.4,2020-12-10,2021-03-28,false,"DEM, NOVO, PATRIOTA, PL, REPUBLICANOS, PSD, PSDB"
2022,2023-01-01,2026-03-19,2021.1,2021-03-29,2021-06-23,false,"DEM, NOVO, PATRIOTA, PL, REPUBLICANOS, PSD, PSDB, PSL"
2022,2023-01-01,2026-03-19,2021.2,2021-06-24,2021-08-03,false,"DEM, PATRIOTA, PL, REPUBLICANOS, PSD, PSDB, PSL"
2022,2023-01-01,2026-03-19,2021.3,2021-08-04,2022-02-07,false,"DEM, PATRIOTA, PP, PL, REPUBLICANOS, PSD, PSDB, PSL"
2022,2023-01-01,2026-03-19,2022.1,2022-02-08,2022-03-31,false,"PATRIOTA, PP, PL, REPUBLICANOS, PSD, PSDB, UNIÃO"
2022,2023-01-01,2026-03-19,2022.2,2022-04-01,2022-04-01,false,"PATRIOTA, PP, PL, REPUBLICANOS, PSD, UNIÃO"
2022,2023-01-01,2026-03-19,2022.3,2022-04-02,2022-12-31,false,"PATRIOTA, PP, REPUBLICANOS, PSD, UNIÃO"
2022,2023-01-01,2026-03-19,2023.1,2023-01-01,2023-09-12,true,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO"
2022,2023-01-01,2026-03-19,2023.2,2023-09-13,2025-12-23,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIÃO"
2022,2023-01-01,2026-03-19,2025.1,2025-12-24,2026-03-19,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS"
